2;Другие нарушения ПДД водителями 1. Нарушение требований сигналов светофора 2. Нарушение правил проезда пешеходного перехода 2. Иные нарушения ПДД пешеходом 2. Несоблюдение очередности проезда 4. Неправильный выбор дистанции 1. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. Нарушение правил перестроения 1. ;14;(51.7, 55.1);18.0;0.0;26.0;39.0;{'Пешеходная инфраструктура': 1, 'Деятельность органов власти в сфере безопасности дорожного движения': 1, 'Дорожные знаки и светофоры': 1}
10;Другие нарушения ПДД водителями 5. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 5. Выезд на полосу встречного движения с разворотом 1. поворотом налево или объездом препятствия 1. Выезд на полосу встречного движения 2. Несоблюдение бокового интервала 4. Превышение установленной скорости движения 3. Нарушение правил расположения ТС на проезжей части 1. Нарушение правил проезда пешеходного перехода 4. Разворот в местах, где разворот запрещён 2. Несоответствие скорости конкретным условиям движения 1. Несоблюдение очередности проезда 7. Неправильный выбор дистанции 3. Нахождение на проезжей части без цели её перехода 1. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Нарушение требований линий разметки 1. Выезд на полосу встречного движения в местах, где это запрещено 1. Иные нарушения ПДД пассажирами 1. Нарушение требований сигналов светофора 1. ;45;(44.9, 34.1);58.0;6.0;77.0;132.0;{'Качество дорожного покрытия': 5, 'Дорожные знаки и светофоры': 2, 'Деятельность органов власти в сфере безопасности дорожного движения': 1}
32;Другие нарушения ПДД водителями 6. Выезд на полосу встречного движения в местах, где это запрещено 3. Несоблюдение очередности проезда 3. Нарушение требований сигналов светофора 4. Нарушение требований дорожных знаков 1. Управление велосипедом 1. не оснащённым светоотражающими элементами 1. Неправильный выбор дистанции 4. Переход проезжей части в запрещённом месте (оборудованном пешеходными ограждениями) 1. Нарушение правил перестроения 1. Нарушение правил проезда пешеходного перехода 2. Несоблюдение бокового интервала 1. ;28;(45.0, 38.9);43.0;8.0;51.0;74.0;{'Качество дорожного покрытия': 3, 'Дорожные знаки и светофоры': 2, 'Пешеходная инфраструктура': 3, 'Дорожная разметка': 1, 'Деятельность органов власти в сфере безопасности дорожного движения': 1, 'Ремонтные работы': 1}
34;Несоответствие скорости конкретным условиям движения 1. Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 1. Выезд на полосу встречного движения 2. Нарушение правил проезда пешеходного перехода 1. Другие нарушения ПДД водителями 2. Несоблюдение очередности проезда 4. Нарушение правил расположения ТС на проезжей части 1. Неправильный выбор дистанции 1. ;13;(53.1, 45.0);17.0;1.0;22.0;34.0;{'Качество дорожного покрытия': 2, 'Пешеходная инфраструктура': 1}
35;Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. Ходьба вдоль проезжей части при наличии и удовлетворительном состоянии тротуара 2. Нарушение правил проезда пешеходного перехода 7. Несоответствие скорости конкретным условиям движения 1. Несоблюдение бокового интервала 2. Движение во встречном направлении по дороге с односторонним движением 1. Неправильный выбор дистанции 3. Нарушение правил расположения ТС на проезжей части 3. Выезд на полосу встречного движения в местах, где это запрещено 2. ;22;(43.4, 39.9);22.0;3.0;29.0;87.0;{'Пешеходная инфраструктура': 1}
42;Несоответствие скорости конкретным условиям движения 6. Выезд на полосу встречного движения 4. Иные нарушения ПДД пешеходом 2. Нарушение правил проезда пешеходного перехода 3. Нарушение правил расположения ТС на проезжей части 4. Неправильный выбор дистанции 3. Несоблюдение очередности проезда 7. Превышение установленной скорости движения 4. Нарушение правил перестроения 1. Несоблюдение бокового интервала 2. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. ;37;(56.2, 44.0);39.0;2.0;50.0;121.0;{'Дорожные знаки и светофоры': 2, 'Дорожная разметка': 1, 'Качество дорожного покрытия': 2, 'Пешеходная инфраструктура': 1}
50;Выезд на полосу встречного движения в местах, где это запрещено 1. Неправильный выбор дистанции 1. Несоответствие скорости конкретным условиям движения 1. Выезд на полосу встречного движения 1. ;4;(58.6, 49.6);12.0;3.0;7.0;15.0;{'Дорожные знаки и светофоры': 1}
86;Несоответствие скорости конкретным условиям движения 1. Выезд на полосу встречного движения 2. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Другие нарушения ПДД водителями 2. Нарушение правил перестроения 2. Неправильный выбор дистанции 4. Несоблюдение бокового интервала 1. Нарушение правил проезда пешеходного перехода 1. ;14;(56.3, 44.0);16.0;0.0;22.0;41.0;{'Дорожные знаки и светофоры': 1, 'Деятельность органов власти в сфере безопасности дорожного движения': 1, 'Пешеходная инфраструктура': 4}
106;Неправильный выбор дистанции 4. Выезд на полосу встречного движения 4. Несоблюдение очередности проезда 3. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. Нарушение правил расположения ТС на проезжей части 1. Разворот в местах, где разворот запрещён 1. Другие нарушения ПДД водителями 3. Несоответствие скорости конкретным условиям движения 3. Нарушение правил проезда пешеходного перехода 2. Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 1. ;23;(58.5, 49.5);35.0;1.0;39.0;68.0;{'Качество дорожного покрытия': 1}
110;Несоответствие скорости конкретным условиям движения 13. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Другие нарушения ПДД водителями 8. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. Иные нарушения ПДД пешеходом 1. Неправильный выбор дистанции 29. Нарушение правил перестроения 16.  1. Несоблюдение бокового интервала 1. Нарушение правил расположения ТС на проезжей части 1. Выезд на полосу встречного движения 2. Несоблюдение очередности проезда 1. ;75;(55.5, 37.5);95.0;1.0;170.0;250.0;{'Деятельность органов власти в сфере безопасности дорожного движения': 3, 'Дорожная разметка': 4, 'Дорожные знаки и светофоры': 4, 'Пешеходная инфраструктура': 2}
