1;Другие нарушения ПДД водителями 2. Несоответствие скорости конкретным условиям движения 2. Неправильный выбор дистанции 7. Выезд на полосу встречного движения 1. Несоблюдение очередности проезда 2. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Нарушение правил расположения ТС на проезжей части 1. ;16;(55.3, 37.9);30.0;3.0;33.0;43.0
2;Другие нарушения ПДД водителями 1. Нарушение требований сигналов светофора 2. Нарушение правил проезда пешеходного перехода 2. Иные нарушения ПДД пешеходом 2. Несоблюдение очередности проезда 4. Неправильный выбор дистанции 1. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. Нарушение правил перестроения 1. ;14;(51.7, 55.1);18.0;0.0;26.0;39.0
3;Превышение установленной скорости движения 2. Выезд на полосу встречного движения 1. Неправильный выбор дистанции 5. Нахождение на проезжей части без цели её перехода 1. Несоблюдение очередности проезда 1. Нарушение правил проезда пешеходного перехода 1. Несоответствие скорости конкретным условиям движения 1. ;12;(56.1, 37.4);21.0;1.0;28.0;35.0
4;Нахождение на проезжей части без цели её перехода 1. Другие нарушения ПДД водителями 3. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 1. Иные нарушения ПДД пешеходом 1. Неправильный выбор дистанции 1. Несоблюдение очередности проезда 2. Превышение установленной скорости движения 2. Нарушение правил проезда пешеходного перехода 1. Выезд на полосу встречного движения 1. ;13;(48.4, 135.4);19.0;2.0;16.0;27.0
5;Нарушение правил проезда пешеходного перехода 5. Выезд на полосу встречного движения 5. Несоблюдение очередности проезда 8. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 4. Неправильный выбор дистанции 3. Нарушение правил расположения ТС на проезжей части 1. Превышение установленной скорости движения 2. Пересечение велосипедистом проезжей части по пешеходному переходу 1. Несоблюдение бокового интервала 1. ;30;(44.7, 33.8);45.0;6.0;51.0;75.0
6;Выезд на полосу встречного движения 3. Нарушение правил расположения ТС на проезжей части 2. Несоответствие скорости конкретным условиям движения 1. Нарушение правил обгона 2. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Другие нарушения ПДД водителями 2. Превышение установленной скорости движения 2. Нарушение правил пользования внешними световыми приборами 1. Несоблюдение очередности проезда 2. Неправильный выбор дистанции 3. Выезд на полосу встречного движения с разворотом 1. поворотом налево или объездом препятствия 1. ;21;(43.2, 44.8);32.0;10.0;41.0;102.0
7;Несоответствие скорости конкретным условиям движения 1. ;1;(51.1, 81.8);1.0;0.0;1.0;2.0
8;Нарушение правил обгона 1. ;1;(55.1, 55.1);2.0;0.0;2.0;3.0
9;Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Другие нарушения ПДД водителями 2. Выезд на полосу встречного движения 1. Несоответствие скорости конкретным условиям движения 1. ;5;(52.4, 43.5);4.0;0.0;5.0;8.0
10;Другие нарушения ПДД водителями 5. Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода 5. Выезд на полосу встречного движения с разворотом 1. поворотом налево или объездом препятствия 1. Выезд на полосу встречного движения 2. Несоблюдение бокового интервала 4. Превышение установленной скорости движения 3. Нарушение правил расположения ТС на проезжей части 1. Нарушение правил проезда пешеходного перехода 4. Разворот в местах, где разворот запрещён 2. Несоответствие скорости конкретным условиям движения 1. Несоблюдение очередности проезда 7. Неправильный выбор дистанции 3. Нахождение на проезжей части без цели её перехода 1. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Нарушение требований линий разметки 1. Выезд на полосу встречного движения в местах, где это запрещено 1. Иные нарушения ПДД пассажирами 1. Нарушение требований сигналов светофора 1. ;45;(44.9, 34.1);58.0;6.0;77.0;132.0
11;Нарушение требований дорожных знаков 1. ;1;(45.4, 33.5);2.0;0.0;2.0;3.0
12;Несоответствие скорости конкретным условиям движения 2. Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 1. Другие нарушения ПДД водителями 6. Разворот в местах, где разворот запрещён 1. Неправильный выбор дистанции 6. Несоблюдение условий 1. разрешающих движение транспорта задним ходом 1. Нарушение требований дорожных знаков 1. Несоблюдение очередности проезда 1. Иные нарушения ПДД пешеходом 1. Неожиданный выход из-за стоящего ТС 1. Выезд на полосу встречного движения 2. Иные нарушения ПДД пассажирами 1. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 2. Нарушение правил перестроения 2.  1. ;30;(44.9, 39.1);29.0;7.0;60.0;115.0
13;Другие нарушения ПДД водителями 1. ;1;(44.4, 45.0);4.0;0.0;1.0;4.0
14;Несоблюдение очередности проезда 6. Превышение установленной скорости движения 7. Нарушение правил проезда пешеходного перехода 1. Нахождение на проезжей части без цели её перехода 1. Выезд на полосу встречного движения в местах, где это запрещено 1. Нарушение правил проезда ж/д переездов 1. Другие нарушения ПДД водителями 1. Несоблюдение бокового интервала 1. Выезд на полосу встречного движения 1. ;20;(44.8, 41.3);29.0;4.0;35.0;81.0
15;Неправильный выбор дистанции 1. Превышение установленной скорости движения 4. Нахождение на проезжей части без цели её перехода 1. Несоответствие скорости конкретным условиям движения 1. Иные нарушения ПДД пешеходом 1. Нарушение правил расположения ТС на проезжей части 1. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Другие нарушения ПДД водителями 1. ;11;(51.7, 94.4);11.0;2.0;10.0;20.0
16;Несоответствие скорости конкретным условиям движения 1. ;1;(57.1, 57.3);4.0;2.0;3.0;5.0
17;Неправильный выбор дистанции 1. ;1;(55.7, 46.5);1.0;0.0;2.0;2.0
18;Неправильный выбор дистанции 3. Другие нарушения ПДД водителями 3. Выезд на полосу встречного движения в местах, где это запрещено 2. Нарушение правил проезда пешеходного перехода 1. Выезд на полосу встречного движения 1. ;10;(53.0, 158.5);16.0;2.0;17.0;29.0
19;Другие нарушения ПДД водителями 1. ;1;(53.2, 105.9);0.0;1.0;1.0;2.0
20;Выезд на полосу встречного движения 1. Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка) 1. Нарушение правил расположения ТС на проезжей части 1. Другие нарушения ПДД водителями 1. Несоблюдение очередности проезда 4. Нарушение правил обгона 1. Ходьба вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины 1. Неправильный выбор дистанции 1. ;11;(54.8, 82.7);16.0;2.0;20.0;29.0
21;Несоблюдение бокового интервала 1. ;1;(52.9, 156.9);1.0;0.0;2.0;3.0
22;Нарушение правил расположения ТС на проезжей части 2. Другие нарушения ПДД водителями 1. ;3;(54.5, 36.5);6.0;0.0;4.0;8.0
23;Нахождение на проезжей части без цели её перехода 1. ;1;(57.4, 48.5);1.0;0.0;1.0;2.0
24;Иные нарушения ПДД пешеходом 1. ;1;(47.9, 132.6);1.0;0.0;1.0;2.0
25;Другие нарушения ПДД водителями 1. Эксплуатация технически неисправного ТС 1. ;2;(62.9, 40.2);7.0;0.0;3.0;7.0
